Kecamatan,Y,X1,X2,X3
GEDEBAGE,175,8,3.74,6117
UJUNGBERUNG,183,30,11.81,13685
CINAMBO,152,6,6.75,2310
BANDUNG KULON,832,44,22.43,4857
ANDIR,1155,60,26.61,9906
BABAKAN CIPARAY,442,50,20.08,3975
BOJONGLOA KALER,272,28,40.39,15580
SUKAJADI,231,30,25.47,10860
CIDADAP,97,28,9.64,6511
COBLONG,425,154,18.14,2692
CICENDO,871,326,14.69,20066
BANDUNG WETAN,75,34,9.21,3158
SUMUR BANDUNG,277,32,10.58,2546
BATUNUNGGAL,296,54,24.29,4154
CIBEUNYING KIDUL,709,8,20.82,14968
REGOL,213,6,19.3,3994
BANDUNG KIDUL,578,34,9.94,8088
ASTANAANYAR,357,6,24.14,5204
KIARACONDONG,600,84,21.81,9810
BUAHBATU,105,36,12.14,9009
MANDALAJATI,155,14,9.52,7151
CIBIRU,263,6,11.14,9962
BOJONGLOA KIDUL,544,10,13.99,8992
CIBEUNYING KALER,115,58,15.99,9057
PANYILEUKAN,190,34,7.72,4569
ANTAPANI,157,38,19.91,3550
LENGKONG,181,16,12.3,1679
SUKASARI,563,10,13.22,275
RANCASARI,80,6,10.33,2831
ARCAMANIK,232,46,11.68,7209
